Superficie (m2),Nombre Pieces,Nombre Chambres,Prix (Euros),Code Postal,Classe Energetique,Nombre Photos,Etage,Type de Bien,Type Vendeur,Terrasse,Parking,Cave,Ascenseur,Gardien,Renove,Box
109,5,3,1430000,75017,0,10,1,1,1,-1,-1,1,1,1,-1,-1
108,5,4,1435000,75016,0,10,6,1,1,-1,-1,-1,-1,-1,-1,-1
108,5,4,1435000,75016,0,10,6,1,1,-1,-1,-1,1,-1,1,-1
120,5,4,1440000,75017,0,10,1,1,1,1,1,1,1,-1,-1,-1
136,6,4,1449000,75015,4,10,3,1,1,-1,-1,1,1,-1,-1,-1
77,3,1,1450000,75007,4,9,4,1,1,-1,-1,-1,-1,-1,-1,-1
127,5,4,1450000,75019,3,10,4,1,1,-1,-1,1,1,1,-1,-1
86,5,3,1460000,75017,5,10,6,1,1,1,-1,1,1,1,-1,-1
164,7,1,1470000,75010,2,7,-1,1,1,1,-1,-1,1,-1,-1,-1
106,3,2,1480000,75016,0,10,4,1,1,-1,-1,-1,-1,-1,-1,-1
118,5,3,1490000,75012,4,10,6,1,1,-1,-1,1,-1,-1,-1,-1
76,2,1,1495000,75008,4,10,7,1,1,-1,-1,1,1,-1,-1,-1
97,3,2,1495000,75003,5,10,3,1,1,-1,-1,1,1,1,-1,-1
120,5,3,1495000,75015,4,10,2,1,1,-1,-1,1,1,1,-1,-1
60,3,1,1500000,75007,0,10,5,1,1,-1,-1,1,1,1,-1,-1
116,5,3,1525000,75017,5,10,4,1,1,1,-1,1,-1,-1,-1,-1
90,3,1,1530000,75008,4,10,4,1,1,-1,-1,1,1,1,-1,-1
94,3,2,1530000,75009,4,10,3,1,1,-1,-1,1,-1,-1,-1,-1
116,3,2,1545000,75010,5,10,4,1,1,-1,-1,1,1,-1,-1,-1
86,3,2,1559000,75006,4,10,3,1,1,1,-1,-1,-1,-1,-1,-1
85,3,1,1575000,75006,4,10,-1,1,1,1,1,-1,-1,-1,-1,-1
158,6,5,1590000,75011,7,10,1,1,1,-1,-1,1,1,-1,-1,-1
121,3,1,1600000,75011,0,6,2,1,1,1,1,1,1,-1,-1,-1
116,6,4,1600000,75015,2,10,1,1,1,-1,-1,1,-1,1,-1,-1
102,4,3,1600000,75007,4,6,1,1,1,-1,-1,-1,1,1,-1,-1
136,5,4,1605000,75020,0,10,8,1,1,-1,-1,-1,-1,-1,-1,-1
114,6,3,1650000,75009,4,10,3,1,1,-1,-1,1,1,-1,-1,-1
105,5,3,1665000,75007,0,10,1,1,1,-1,-1,1,1,1,-1,-1
177,6,4,1670000,75019,3,10,2,1,1,-1,1,-1,1,1,-1,-1
123,5,3,1690000,75008,4,10,3,1,1,-1,-1,1,1,-1,-1,-1
150,5,3,1690000,75017,0,10,2,1,1,1,-1,1,1,-1,-1,-1
141,5,2,1692000,75017,4,9,4,1,1,-1,-1,-1,1,1,-1,-1
128,5,3,1696000,75009,3,10,2,1,1,-1,-1,-1,-1,-1,-1,-1
96,4,2,1700000,75016,5,10,5,1,1,-1,-1,1,1,1,-1,-1
142,4,2,1716000,75002,4,10,1,1,1,-1,-1,1,1,1,1,-1
89,4,2,1750000,75006,7,10,2,1,1,-1,-1,1,-1,-1,-1,-1
173,6,4,1750000,75017,5,10,-1,1,1,-1,1,1,-1,1,-1,-1
102,5,3,1760000,75008,0,10,3,1,1,-1,-1,1,1,1,-1,-1
147,5,4,1799000,75003,3,10,4,1,1,-1,-1,-1,1,1,1,-1
92,3,2,1800000,75006,4,10,5,1,1,1,-1,-1,1,1,1,-1
129,4,2,1855000,75017,3,10,6,1,1,-1,-1,1,1,-1,-1,-1
113,4,2,1860000,75008,4,10,3,1,1,-1,-1,1,1,-1,-1,-1
80,4,2,1880000,75016,6,10,8,1,1,-1,-1,1,1,1,-1,-1
168,6,4,1900000,75009,0,10,2,1,1,-1,-1,1,1,1,-1,-1
107,4,3,1950000,75008,4,7,3,1,1,-1,-1,1,1,-1,-1,-1
99,4,2,1950000,75007,0,7,1,1,1,-1,-1,-1,1,-1,-1,-1
121,4,2,1957000,75016,0,10,-1,1,1,-1,-1,1,1,-1,-1,-1
157,6,4,1975000,75009,4,10,3,1,1,-1,-1,1,1,1,-1,-1
100,3,2,1990000,75001,0,10,4,1,1,-1,-1,1,1,-1,-1,-1
133,5,3,1990000,75016,0,1,2,1,1,1,-1,1,1,-1,-1,-1
188,7,4,1990000,75016,4,10,3,1,1,1,1,1,1,-1,-1,-1
168,6,4,2000000,75009,0,10,2,1,1,-1,-1,-1,-1,-1,-1,-1
126,4,2,2040000,75005,5,10,2,1,1,-1,-1,-1,1,-1,-1,-1
182,6,3,2100000,75017,0,10,4,1,1,1,1,-1,-1,-1,-1,-1
151,5,3,2100000,75003,4,10,6,1,1,-1,1,1,1,-1,-1,-1
104,3,2,2142000,75001,0,10,4,1,1,1,-1,1,1,-1,1,-1
250,8,5,2150000,75008,0,9,-1,1,1,1,-1,-1,1,-1,-1,-1
138,4,3,2175000,75016,4,10,3,1,1,1,1,1,1,1,-1,-1
126,5,3,2190000,75016,4,10,6,1,1,-1,-1,1,1,1,-1,-1
152,5,4,2190000,75008,3,10,2,1,1,1,-1,1,1,-1,-1,-1
177,7,5,2195000,75016,6,10,1,1,1,-1,1,-1,1,-1,-1,-1
163,6,4,2200000,75017,5,10,4,1,1,-1,-1,1,1,-1,-1,-1
