Superficie (m2),Nombre Pieces,Nombre Chambres,Prix (Euros),Code Postal,Classe Energetique,Nombre Photos,Etage,Type de Bien,Type Vendeur,Terrasse,Parking,Cave,Ascenseur,Gardien,Renove,Box
64,3,2,830000,75017,5,1,3,1,1,-1,-1,-1,-1,-1,-1,-1
122,5,5,1470000,75015,0,10,3,1,1,1,1,1,1,-1,-1,1
5,1,0,65000,75116,5,6,6,1,1,-1,-1,-1,1,1,1,-1
7,1,0,80000,75015,0,4,7,1,1,-1,-1,-1,-1,1,-1,-1
8,1,0,87000,75006,0,4,6,1,1,-1,-1,-1,1,1,-1,-1
10,1,0,115000,75016,0,8,7,1,1,-1,-1,-1,-1,-1,-1,-1
10,1,0,128000,75007,0,5,6,1,1,-1,-1,-1,-1,-1,-1,-1
14,1,0,129600,75018,7,7,2,1,1,-1,-1,-1,-1,-1,-1,-1
12,1,0,130000,75015,7,4,5,1,1,-1,-1,-1,-1,-1,-1,-1
10,1,0,135000,75018,7,7,6,1,1,-1,-1,-1,1,1,-1,-1
12,1,0,137900,75020,5,4,2,1,1,-1,-1,-1,-1,-1,-1,-1
12,1,0,142000,75016,0,4,5,1,1,-1,-1,-1,-1,1,-1,-1
38,2,1,148000,75004,0,10,-1,1,1,1,-1,-1,-1,-1,-1,-1
13,1,0,159000,75015,0,10,-1,1,1,-1,-1,1,1,-1,-1,-1
14,1,0,160000,75015,6,10,3,1,1,-1,-1,1,-1,-1,-1,-1
12,1,0,165000,75016,0,4,-1,1,1,-1,-1,-1,-1,-1,-1,-1
14,1,0,165000,75018,5,10,-1,1,1,-1,-1,1,-1,-1,-1,-1
20,1,0,174000,75019,5,3,2,1,1,-1,-1,-1,1,-1,-1,-1
17,1,0,177000,75018,7,10,-1,1,1,-1,-1,-1,-1,-1,-1,-1
15,1,0,197000,75019,4,4,3,1,1,-1,-1,-1,-1,-1,1,-1
19,1,0,217400,75020,7,9,5,1,1,-1,-1,-1,-1,-1,-1,-1
20,1,0,219000,75013,4,6,1,1,1,-1,-1,-1,-1,-1,1,-1
48,2,1,378900,75019,5,6,1,1,1,-1,-1,1,1,-1,-1,-1
100,4,3,870000,75015,5,10,-1,1,1,-1,-1,1,1,-1,-1,-1
44,2,1,450000,75017,4,5,2,1,1,-1,-1,1,-1,-1,-1,-1
54,2,1,695000,75009,5,10,3,1,1,1,-1,1,-1,-1,-1,-1
158,6,3,1850000,75013,3,10,-1,1,1,1,-1,1,1,-1,-1,-1
18,1,0,220000,75020,7,8,-1,1,1,-1,-1,1,-1,-1,-1,-1
16,1,0,220000,75009,5,8,5,1,1,-1,-1,-1,-1,-1,-1,-1
19,1,0,230000,75010,6,10,2,1,1,-1,-1,1,-1,1,-1,-1
23,2,1,233795,75018,7,8,-1,1,1,-1,-1,1,-1,-1,-1,-1
24,2,1,235000,75018,0,9,2,1,1,-1,-1,1,-1,-1,-1,-1
22,1,0,237000,75017,4,10,4,1,1,-1,-1,-1,1,-1,-1,-1
28,1,0,250000,75020,7,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
14,1,0,255000,75006,0,2,3,1,1,-1,-1,-1,-1,-1,-1,-1
27,2,1,260000,75011,5,9,-1,1,1,-1,-1,-1,-1,-1,1,-1
26,1,0,260000,75014,5,6,6,1,1,-1,-1,1,-1,-1,-1,-1
19,1,0,265000,75002,0,8,1,1,1,-1,-1,-1,-1,-1,-1,-1
12,1,0,265000,75007,5,7,3,1,1,-1,-1,-1,-1,-1,-1,-1
28,1,0,275000,75019,5,10,2,1,1,-1,-1,1,-1,-1,-1,-1
34,2,1,280000,75018,5,10,1,1,1,-1,-1,-1,-1,-1,-1,-1
22,1,0,280000,75009,6,10,2,1,1,-1,-1,-1,-1,-1,-1,-1
29,1,0,281500,75019,5,9,1,1,1,-1,-1,1,-1,-1,-1,-1
25,1,0,282000,75015,5,5,-1,1,1,-1,-1,1,1,1,-1,-1
25,2,1,288500,75018,0,5,4,1,1,-1,-1,-1,-1,-1,-1,-1
23,1,0,292600,75012,6,4,4,1,1,-1,-1,1,-1,-1,-1,-1
27,2,1,295000,75011,7,10,4,1,1,-1,-1,-1,-1,-1,-1,-1
32,1,0,297000,75018,3,10,6,1,1,-1,-1,1,-1,-1,-1,-1
31,2,1,298000,75019,6,10,1,1,1,-1,-1,1,-1,-1,-1,-1
24,1,0,300000,75004,6,10,2,1,1,-1,-1,1,-1,-1,-1,-1
29,2,1,307000,75018,6,6,1,1,1,-1,-1,1,-1,-1,-1,-1
25,2,1,308000,75014,0,9,3,1,1,-1,-1,-1,-1,-1,-1,-1
23,1,0,310000,75001,4,10,3,1,1,-1,-1,-1,-1,-1,-1,-1
28,1,0,315000,75018,5,10,1,1,1,-1,-1,1,-1,-1,-1,-1
31,2,1,315000,75012,6,8,2,1,1,-1,-1,-1,-1,-1,-1,-1
30,2,1,317000,75018,6,5,1,1,1,-1,-1,1,1,-1,-1,-1
30,2,1,320000,75017,7,7,1,1,1,-1,-1,1,1,-1,-1,-1
